ZIPCODE,Year,Quarter,NSA,Index_Type
14,2000,3,148.96,Native 3-Digit ZIP index
14,2000,4,151.98,Native 3-Digit ZIP index
14,2001,1,157.70,Native 3-Digit ZIP index
14,2001,2,161.53,Native 3-Digit ZIP index
14,2001,3,167.05,Native 3-Digit ZIP index
14,2001,4,171.28,Native 3-Digit ZIP index
14,2002,1,174.64,Native 3-Digit ZIP index
14,2002,2,180.29,Native 3-Digit ZIP index
14,2002,3,184.91,Native 3-Digit ZIP index
14,2002,4,189.29,Native 3-Digit ZIP index
14,2003,1,193.14,Native 3-Digit ZIP index
14,2003,2,196.22,Native 3-Digit ZIP index
14,2003,3,200.35,Native 3-Digit ZIP index
14,2003,4,208.10,Native 3-Digit ZIP index
14,2004,1,210.47,Native 3-Digit ZIP index
14,2004,2,216.17,Native 3-Digit ZIP index
14,2004,3,224.62,Native 3-Digit ZIP index
14,2004,4,228.63,Native 3-Digit ZIP index
14,2005,1,233.11,Native 3-Digit ZIP index
14,2005,2,238.66,Native 3-Digit ZIP index
14,2005,3,242.97,Native 3-Digit ZIP index
14,2005,4,244.71,Native 3-Digit ZIP index
14,2006,1,245.68,Native 3-Digit ZIP index
14,2006,2,245.14,Native 3-Digit ZIP index
14,2006,3,239.95,Native 3-Digit ZIP index
14,2006,4,241.43,Native 3-Digit ZIP index
14,2007,1,239.35,Native 3-Digit ZIP index
14,2007,2,238.24,Native 3-Digit ZIP index
14,2007,3,227.85,Native 3-Digit ZIP index
14,2007,4,228.08,Native 3-Digit ZIP index
14,2008,1,227.42,Native 3-Digit ZIP index
14,2008,2,218.37,Native 3-Digit ZIP index
14,2008,3,210.44,Native 3-Digit ZIP index
14,2008,4,209.95,Native 3-Digit ZIP index
14,2009,1,211.51,Native 3-Digit ZIP index
14,2009,2,203.24,Native 3-Digit ZIP index
14,2009,3,198.49,Native 3-Digit ZIP index
14,2009,4,199.25,Native 3-Digit ZIP index
14,2010,1,196.59,Native 3-Digit ZIP index
14,2010,2,196.67,Native 3-Digit ZIP index
14,2010,3,197.32,Native 3-Digit ZIP index
14,2010,4,197.05,Native 3-Digit ZIP index
14,2011,1,194.37,Native 3-Digit ZIP index
14,2011,2,189.33,Native 3-Digit ZIP index
14,2011,3,189.24,Native 3-Digit ZIP index
14,2011,4,190.76,Native 3-Digit ZIP index
14,2012,1,187.03,Native 3-Digit ZIP index
14,2012,2,185.50,Native 3-Digit ZIP index
14,2012,3,186.40,Native 3-Digit ZIP index
14,2012,4,187.07,Native 3-Digit ZIP index
14,2013,1,186.65,Native 3-Digit ZIP index
14,2013,2,187.32,Native 3-Digit ZIP index
14,2013,3,187.13,Native 3-Digit ZIP index
14,2013,4,188.98,Native 3-Digit ZIP index
14,2014,1,188.87,Native 3-Digit ZIP index
14,2014,2,191.86,Native 3-Digit ZIP index
14,2014,3,198.43,Native 3-Digit ZIP index
14,2014,4,198.05,Native 3-Digit ZIP index
14,2015,1,197.20,Native 3-Digit ZIP index
14,2015,2,201.01,Native 3-Digit ZIP index
14,2015,3,202.64,Native 3-Digit ZIP index
14,2015,4,206.32,Native 3-Digit ZIP index
14,2016,1,206.36,Native 3-Digit ZIP index
14,2016,2,209.34,Native 3-Digit ZIP index
14,2016,3,213.17,Native 3-Digit ZIP index
14,2016,4,213.71,Native 3-Digit ZIP index
14,2017,1,214.77,Native 3-Digit ZIP index
14,2017,2,222.72,Native 3-Digit ZIP index
14,2017,3,226.55,Native 3-Digit ZIP index
14,2017,4,224.99,Native 3-Digit ZIP index
14,2018,1,229.21,Native 3-Digit ZIP index
14,2018,2,235.49,Native 3-Digit ZIP index
14,2018,3,236.94,Native 3-Digit ZIP index
14,2018,4,238.78,Native 3-Digit ZIP index
14,2019,1,243.27,Native 3-Digit ZIP index
14,2019,2,245.82,Native 3-Digit ZIP index
14,2019,3,248.72,Native 3-Digit ZIP index
14,2019,4,251.37,Native 3-Digit ZIP index
14,2020,1,254.55,Native 3-Digit ZIP index
